coordinateID,geoID,geoName,longitude,latitude
c282,16,Miguel Hidalgo,-99.1843501,19.3998346
c283,14,Benito Juárez,-99.1611346584,19.3806424162
c284,10,Álvaro Obregón,-99.1919955,19.357102
c285,10,Álvaro Obregón,-99.246819712,19.336175562
c286,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c287,10,Álvaro Obregón,-99.246819712,19.336175562
c288,10,Álvaro Obregón,-99.246819712,19.336175562
c289,14,Benito Juárez,-99.1611346584,19.3806424162
c290,9,Milpa Alta,-99.0510954218,19.1394565999
c291,10,Álvaro Obregón,-99.246819712,19.336175562
c292,10,Álvaro Obregón,-99.246819712,19.336175562
c293,17,Venustiano Carranza,-99.137171,19.375769
c294,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c295,14,Benito Juárez,-99.1611346584,19.3806424162
c296,14,Benito Juárez,-99.1611346584,19.3806424162
c297,12,Tlalpan,-99.2062207957,19.1983396763
c298,15,Cuauhtémoc,-99.1490557562,19.4313734294
c299,15,Cuauhtémoc,-99.1490557562,19.4313734294
c300,7,Iztapalapa,-99.0567989642,19.3491663204
c301,13,Xochimilco,-99.0903636045,19.2451450458
c302,12,Tlalpan,-99.140238,19.2846922
c303,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c304,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c305,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c306,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c307,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c308,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c309,15,Cuauhtémoc,-99.1490557562,19.4313734294
c310,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c311,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c312,10,Álvaro Obregón,-99.1919955,19.357102
c313,12,Tlalpan,-99.2062207957,19.1983396763
c314,9,Milpa Alta,-99.0510954218,19.1394565999
c315,16,Miguel Hidalgo,-99.1843501,19.3998346
c316,9,Milpa Alta,-99.0510954218,19.1394565999
c317,2,Azcapotzalco,-99.1821069423,19.4853286147
c318,2,Azcapotzalco,-99.1821069423,19.4853286147
c319,3,Coyoacán,-99.1503763525,19.3266672536
c320,10,Álvaro Obregón,-99.246819712,19.336175562
c321,10,Álvaro Obregón,-99.246819712,19.336175562
c322,15,Cuauhtémoc,-99.1490557562,19.4313734294
c323,15,Cuauhtémoc,-99.1490557562,19.4313734294
c324,15,Cuauhtémoc,-99.1490557562,19.4313734294
c325,16,Miguel Hidalgo,-99.324375,19.232228
c326,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c327,12,Tlalpan,-99.2062207957,19.1983396763
c328,16,Miguel Hidalgo,-99.1843501,19.3998346
c329,12,Tlalpan,-99.2062207957,19.1983396763
c330,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c331,12,Tlalpan,-99.2062207957,19.1983396763
c332,17,Venustiano Carranza,-99.6924899,19.265678
c333,12,Tlalpan,-99.2058092,19.2970107
c334,12,Tlalpan,-99.2062207957,19.1983396763
c335,12,Tlalpan,-99.2062207957,19.1983396763
c336,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c337,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c338,7,Iztapalapa,-99.0567989642,19.3491663204
c339,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c340,12,Tlalpan,-99.2062207957,19.1983396763
c341,15,Cuauhtémoc,-99.259495,19.3863707
c342,17,Venustiano Carranza,-99.0931057959,19.4304954545
c343,7,Iztapalapa,-99.0567989642,19.3491663204
c344,15,Cuauhtémoc,-99.1490557562,19.4313734294
c345,15,Cuauhtémoc,-99.1490557562,19.4313734294
c346,7,Iztapalapa,-99.0567989642,19.3491663204
c347,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c348,13,Xochimilco,-99.0903636045,19.2451450458
c349,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c350,16,Miguel Hidalgo,-99.2045669144,19.4280623649
c351,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c352,15,Cuauhtémoc,-99.1490557562,19.4313734294
c353,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c354,10,Álvaro Obregón,-99.246819712,19.336175562
c355,15,Cuauhtémoc,-99.1490557562,19.4313734294
c356,15,Cuauhtémoc,-99.1490557562,19.4313734294
c357,10,Álvaro Obregón,-99.1919955,19.357102
c358,15,Cuauhtémoc,-99.1490557562,19.4313734294
c359,17,Venustiano Carranza,-99.259495,19.3863707
c360,7,Iztapalapa,-99.0567989642,19.3491663204
c361,2,Azcapotzalco,-99.1821069423,19.4853286147
c362,15,Cuauhtémoc,-99.1490557562,19.4313734294
c363,15,Cuauhtémoc,-99.1490557562,19.4313734294
c364,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c365,14,Benito Juárez,-99.1611346584,19.3806424162
c366,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
