pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1484012032471048194,incendio,"@Alcaldia_Coy  @SacmexCDMX para reportar una fuga de agua, sobre división del norte, entre las calles árbol del fuego y museo, caso frente al hospital HMG Coyoacan https://t.co/Wh0Rjc3T0s",0,0,0,88604417,Luis Salgado,_luis_salgado,2009-11-09 00:02:37,0,29,1122,2022-01-19 21:56:54,2022,1,19,21,56,3,Coyoacán,-99.2058092,19.2970107
1484155419073425412,tránsito,"@transito_CDMX @SSaludCdMx Accidente grave, motociclista tirado en puente #Tecnoparque #Azcapotzalco @AzcapotzalcoMx (Cerca TecMilenio). #Emergencia!! Ningún servicio médico de la @C5_CDMX @GobCDMX",0,0,0,173494066,Tony Wall,tonywall69,2010-08-01 10:36:54,0,289,1345,2022-01-20 07:26:40,2022,1,20,7,26,2,Azcapotzalco,-99.221136,19.456367
1484201331439153153,incendio,"#DesdeElConsejo reconocemos al cuerpo de @Bomberos_CDMX por su gran labor que realizan diariamente en beneficio de las y los habitantes de la #CiudadDeMéxico.

Su oportuna intervención en el accidente de la #AlcaldíaAzcapotzalco ayudó controlar el incendio. https://t.co/Btyoisda8r https://t.co/nPUtyDXlgQ",3,0,2,3018692462,"Consejo Económico, Social y Ambiental de la CDMX",cesacdmx,2015-02-13 10:53:59,0,1411,382,2022-01-20 10:29:07,2022,1,20,10,29,2,Azcapotzalco,19.4853286147,-99.1821069423
1484353136558936065,incendio,"A mí no me importa su santo dejen de tronar cohetes, eso debe sancionarlo la alcaldía #Azcapotzalco, suficiente contaminación ya tuvimos con el #incendio de ayer ¡Ya cállense! https://t.co/putnkznxJN",5,0,1,1006724339339812866,AleCamposG,AleCamph,2018-06-12 20:26:01,0,2349,2661,2022-01-20 20:32:20,2022,1,20,20,32,2,Azcapotzalco,19.4853286147,-99.1821069423
1484391938220507136,incendio,@SEDEMA_CDMX olor a humo y bruma en el ambiente aca en la colonia Santa Isabel Tola de la alcaldia GAM,0,0,0,194746948,Adrian Trejo,adriant70,2010-09-24 16:26:06,0,8,34,2022-01-20 23:06:31,2022,1,20,23,6,5,Gustavo A. Madero,19.5040652077,-99.1158642087
1484412554222919681,incendio,"La tarde del miércoles se registró un incendio en una nave industrial; se trata de  una fábrica de bicicletas, refacciones y papelería, en la Colonial #Coltongo, en la Alcaldía #Azcapotzalco. (🎥) @Reporte_Indigo @CapitalMexico @EfektoTv @RdoCapital https://t.co/VjiL3MAkWJ",3,1,0,193354323,Guillermo Espinosa,Guiesga,2010-09-21 10:29:20,0,3511,1935,2022-01-21 00:28:26,2022,1,21,0,28,2,Azcapotzalco,19.4853286147,-99.1821069423
1484499532603969544,tránsito,@OHarfuch los procedimientos de presentación de detenido por un accidente de tránsito sin lesionados son demasiado burocráticos y lentos. Valdría la pena digitalizarlos y revisar procesos para volverlos más eficientes. Más de 180 minutos en apenas llegar ante el juez cívico.,0,0,0,242052472,Carlos González Nogueda,CGNogueda,2011-01-23 14:42:07,0,663,709,2022-01-21 06:14:03,2022,1,21,6,14,15,Cuauhtémoc,-99.259495,19.3863707
1484542551503691780,tránsito,"#Actualización || Se restableció la circulación luego de labor de servicios de emergencia por accidente en Calz. Ignacio Zaragoza a la altura de Gral. Fco. O. Arce en dirección al Poniente, alcaldía #Iztapalapa.

📸: @OVIALCDMX 

#AgenciaMxNoticias https://t.co/Ya729ilRRA",3,0,1,551446885,Agencia Mexiquense de Noticias,AMXNoticias,2012-04-11 18:46:59,1,94716,673,2022-01-21 09:05:00,2022,1,21,9,5,7,Iztapalapa,19.3491663204,-99.0567989642
1484588393489129479,tránsito,"⚠️#TómaloEnCuenta | Cerrada la circulación en la avenida Horacio debido a una manifestación por parte de trabajadores de la alcaldía Miguel Hidalgo
https://t.co/yppk7QoENn https://t.co/0nlHXRLcps",6,0,3,31023547,Reporte Índigo,Reporte_Indigo,2009-04-13 19:47:10,1,976490,727,2022-01-21 12:07:09,2022,1,21,12,7,16,Miguel Hidalgo,19.4280623649,-99.2045669144
1484633717058543616,incendio,"@pasotti_ @AlvarezMaynez @MovCiudadanoMX Minucia comparada con la contaminación generada por la quema de combustoleo.
Vas a hablar de eso?

O solo de aquello que no moleste a tu peje ? 😉",0,0,0,1073058579542769664,Eduardo Contreras🇲🇽🇨🇴🇪🇸,that_stray_wolf,2018-12-12 21:34:36,0,261,843,2022-01-21 15:07:15,2022,1,21,15,7,5,Gustavo A. Madero,-99.413769,19.412031
