pivotID,pubID,topicID,prevalence
t366,1120121408418385920,4,0.018530307
t367,1120485785101381632,1,0.9972124
t368,1120494273848279040,1,0.1546263
t369,1120494273848279040,2,0.25452605
t370,1120494273848279040,3,0.58444613
t371,1120535060820779009,3,0.9916947
t372,1120699659884924928,3,0.8447137
t373,1120699659884924928,4,0.14894733
t374,1120907179010215936,3,0.86743826
t375,1120907179010215936,4,0.12553523
t376,1121132785236873219,3,0.98829705
t377,1121376449762660353,1,0.99717325
t378,1121581163620044800,2,0.98065054
t379,1121792963154026496,2,0.9782973
t380,1121877403926712320,1,0.9973236
t381,1121920813958144001,2,0.91970134
t382,1121920813958144001,3,0.03566186
t383,1121920813958144001,4,0.03520579
t384,1121936734831480835,1,0.9970916
t385,1122272860473634817,2,0.9782969
t386,1122715618363498497,2,0.24335788
t387,1122715618363498497,3,0.7445774
t388,1124095319673835521,1,0.09428655
t389,1124095319673835521,2,0.197222
t390,1124095319673835521,3,0.35652363
t391,1124095319673835521,4,0.3519678
t392,1124328987788898305,3,0.78091264
t393,1124328987788898305,4,0.20667872
t394,1124691663253692416,3,0.98019534
t395,1124691663253692416,4,0.010832713
t396,1124815379602264065,3,0.97261024
t397,1124815379602264065,4,0.014981607
t398,1125389968543764481,3,0.98600733
t399,1125798960248033282,2,0.010383201
t400,1125798960248033282,3,0.9661227
t401,1125798960248033282,4,0.018530147
t402,1125865487106068480,2,0.986504
t403,1125924349926629376,1,0.07159313
t404,1125924349926629376,2,0.3227077
t405,1125924349926629376,3,0.6001979
t406,1125996527623606273,3,0.982604
t407,1126209971992113153,2,0.629863
t408,1126209971992113153,3,0.36202073
t409,1126230554385448965,3,0.98725426
t410,1126261947907878917,1,0.996287
t411,1126290936298901504,3,0.72654617
t412,1126290936298901504,4,0.26767957
t413,1126687952015319040,1,0.99665695
t414,1126920484157886465,3,0.97261035
t415,1126920484157886465,4,0.014981513
t416,1126990683431157761,3,0.7953808
t417,1126990683431157761,4,0.19673823
t418,1127058773951094784,3,0.9770118
t419,1127058773951094784,4,0.012574025
t420,1127293944692334592,3,0.9872541
t421,1127379480358481920,2,0.010383053
t422,1127379480358481920,3,0.96612316
t423,1127379480358481920,4,0.018529883
t424,1127381894025359360,2,0.94462126
t425,1127381894025359360,3,0.024594644
t426,1127381894025359360,4,0.024279878
t427,1127384877207379970,2,0.22670563
t428,1127384877207379970,3,0.76253814
t429,1127385750268534784,2,0.91969967
t430,1127385750268534784,3,0.035662875
t431,1127385750268534784,4,0.035206277
t432,1127392800356483072,3,0.977012
t433,1127392800356483072,4,0.012573951
t434,1127397830434406405,2,0.97132087
t435,1127397830434406405,3,0.012736957
t436,1127397830434406405,4,0.012573821
t437,1127408134652354560,2,0.4416839
t438,1127408134652354560,3,0.54861194
t439,1127414847250018304,1,0.017147072
t440,1127414847250018304,2,0.8540054
t441,1127414847250018304,3,0.064838186
t442,1127414847250018304,4,0.064009316
t443,1127443818268303360,2,0.41019157
t444,1127443818268303360,3,0.57774407
t445,1127468794534858752,3,0.98019516
t446,1127468794534858752,4,0.010832812
t447,1127540482769346560,2,0.91970044
t448,1127540482769346560,3,0.035662167
t449,1127540482769346560,4,0.03520622
t450,1127542449369485313,2,0.9658293
t451,1127542449369485313,3,0.015175771
t452,1127542449369485313,4,0.014981588
t453,1127597561005535232,3,0.8759409
t454,1127597561005535232,4,0.11703239
t455,1127616010310176768,1,0.017146826
t456,1127616010310176768,2,0.03586653
t457,1127616010310176768,3,0.88297826
t458,1127616010310176768,4,0.06400839
t459,1127722686514454528,2,0.9577362
t460,1127722686514454528,3,0.018770073
t461,1127722686514454528,4,0.018529821
t462,1127728684134047744,2,0.7847571
t463,1127728684134047744,3,0.20150758
t464,1127728684134047744,4,0.010833263
t465,1127773440524607489,2,0.4276833
t466,1127773440524607489,3,0.548822
t467,1127773440524607489,4,0.018530581
t468,1127794029125521408,2,0.96582854
t469,1127794029125521408,3,0.015176376
t470,1127794029125521408,4,0.014981679
t471,1127909084487983111,2,0.25011945
t472,1127909084487983111,3,0.73088485
t473,1127909084487983111,4,0.014982194
t474,1127946707847847936,3,0.98829716
t475,1127966851445608448,2,0.774306
t476,1127966851445608448,3,0.21957907
t477,1128005484609449986,3,0.987254
t478,1128012974965362688,2,0.98254305
t479,1128103185460154370,2,0.9446214
t480,1128103185460154370,3,0.024594404
t481,1128103185460154370,4,0.02427999
t482,1128105241445060610,2,0.965829
t483,1128105241445060610,3,0.015176218
t484,1128105241445060610,4,0.014981464
t485,1128124027426361345,3,0.97261024
t486,1128124027426361345,4,0.014981603
t487,1128297685667106818,2,0.587901
