geoID,geoName,coordinateID
15,Cuauhtémoc,c1045
5,Gustavo A. Madero,c1046
13,Xochimilco,c1047
2,Azcapotzalco,c1048
2,Azcapotzalco,c1049
7,Iztapalapa,c1050
4,Cuajimalpa de Morelos,c1051
16,Miguel Hidalgo,c1052
16,Miguel Hidalgo,c1053
15,Cuauhtémoc,c1054
4,Cuajimalpa de Morelos,c1055
2,Azcapotzalco,c1056
17,Venustiano Carranza,c1057
2,Azcapotzalco,c1058
4,Cuajimalpa de Morelos,c1059
7,Iztapalapa,c1060
7,Iztapalapa,c1061
10,Álvaro Obregón,c1062
14,Benito Juárez,c1063
15,Cuauhtémoc,c1064
10,Álvaro Obregón,c1065
7,Iztapalapa,c1066
12,Tlalpan,c1067
12,Tlalpan,c1068
2,Azcapotzalco,c1069
10,Álvaro Obregón,c1070
5,Gustavo A. Madero,c1071
12,Tlalpan,c1072
2,Azcapotzalco,c1073
15,Cuauhtémoc,c1074
15,Cuauhtémoc,c1075
7,Iztapalapa,c1076
12,Tlalpan,c1077
12,Tlalpan,c1078
13,Xochimilco,c1079
15,Cuauhtémoc,c1080
4,Cuajimalpa de Morelos,c1081
2,Azcapotzalco,c1082
15,Cuauhtémoc,c1083
13,Xochimilco,c1084
15,Cuauhtémoc,c1085
5,Gustavo A. Madero,c1086
5,Gustavo A. Madero,c1087
16,Miguel Hidalgo,c1088
14,Benito Juárez,c1089
7,Iztapalapa,c1090
15,Cuauhtémoc,c1091
16,Miguel Hidalgo,c1092
12,Tlalpan,c1093
3,Coyoacán,c1094
7,Iztapalapa,c1095
13,Xochimilco,c1096
7,Iztapalapa,c1097
7,Iztapalapa,c1098
5,Gustavo A. Madero,c1099
7,Iztapalapa,c1100
10,Álvaro Obregón,c1101
14,Benito Juárez,c1102
11,Tláhuac,c1103
11,Tláhuac,c1104
13,Xochimilco,c1105
7,Iztapalapa,c1106
3,Coyoacán,c1107
15,Cuauhtémoc,c1108
7,Iztapalapa,c1109
3,Coyoacán,c1110
13,Xochimilco,c1111
10,Álvaro Obregón,c1112
13,Xochimilco,c1113
2,Azcapotzalco,c1114
14,Benito Juárez,c1115
7,Iztapalapa,c1116
11,Tláhuac,c1117
14,Benito Juárez,c1118
15,Cuauhtémoc,c1119
7,Iztapalapa,c1120
13,Xochimilco,c1121
4,Cuajimalpa de Morelos,c1122
3,Coyoacán,c1123
4,Cuajimalpa de Morelos,c1124
7,Iztapalapa,c1125
10,Álvaro Obregón,c1126
7,Iztapalapa,c1127
14,Benito Juárez,c1128
17,Venustiano Carranza,c1129
16,Miguel Hidalgo,c1130
7,Iztapalapa,c1131
11,Tláhuac,c1132
