pubID,topicQuery,likeCount,replyCount,retweetCount,authorID,dateID,coordinateID
1118964712862035969,incendio,0,1,0,139195814,d206,c206
1119691890314448896,incendio,7,1,5,150913226,d207,c207
1119711951897149442,incendio,8,0,3,293063533,d208,c208
1120121408418385920,incendio,8,0,3,293063533,d209,c209
1120485785101381632,tránsito,0,0,0,903097695899934725,d210,c210
1120494273848279040,tránsito,3,0,2,733170186,d211,c211
1120535060820779009,tránsito,0,0,0,129653196,d212,c212
1120699659884924928,tránsito,0,0,0,1944969650,d213,c213
1120907179010215936,incendio,0,0,0,777156215541555205,d214,c214
1121132785236873219,incendio,0,0,0,887696026890518528,d215,c215
1121376449762660353,tránsito,0,1,0,903097695899934725,d216,c216
1121581163620044800,tránsito,1,3,4,3259055186,d217,c217
1121792963154026496,tránsito,0,0,0,994367442,d218,c218
1121877403926712320,tránsito,1,1,0,907034630095867905,d219,c219
1121920813958144001,tránsito,2,3,3,144705945,d220,c220
1121936734831480835,tránsito,0,0,0,907034630095867905,d221,c221
1122272860473634817,tránsito,0,1,0,700530414968922114,d222,c222
1122715618363498497,incendio,31,2,7,1604386056,d223,c223
1124095319673835521,tránsito,0,0,0,154049291,d224,c224
1124328987788898305,pirotecnia,0,0,0,76462054,d225,c225
1124691663253692416,tránsito,0,0,0,121431425,d226,c226
1124815379602264065,incendio,0,0,0,2248317919,d227,c227
1125389968543764481,tránsito,2,0,3,864614439995285506,d228,c228
1125798960248033282,incendio,7,1,2,195951901,d229,c229
1125865487106068480,tránsito,0,0,0,1022534991031488513,d230,c230
1125924349926629376,incendio,0,0,0,1125915509571059712,d231,c231
1125996527623606273,incendio,16,0,11,195951901,d232,c232
1126209971992113153,tránsito,0,1,0,1398007087,d233,c233
1126230554385448965,incendio,1,0,0,767386604013023233,d234,c234
1126261947907878917,tránsito,0,2,1,903097695899934725,d235,c235
1126290936298901504,incendio,7,0,3,195951901,d236,c236
1126687952015319040,tránsito,0,2,0,903097695899934725,d237,c237
1126920484157886465,incendio,5,1,1,121549722,d238,c238
1126990683431157761,incendio,3,0,2,3644895553,d239,c239
1127058773951094784,incendio,1,0,0,3312045686,d240,c240
1127293944692334592,incendio,0,0,0,268258744,d241,c241
1127379480358481920,incendio,0,0,0,52049911,d242,c242
1127381894025359360,incendio,0,0,1,89499739,d243,c243
1127384877207379970,incendio,60,12,97,47868258,d244,c244
1127385750268534784,incendio,2,2,1,703635807337259008,d245,c245
1127392800356483072,incendio,134,40,69,103150136,d246,c246
1127397830434406405,incendio,4,1,0,3069282379,d247,c247
1127408134652354560,incendio,10,1,6,802003144729235457,d248,c248
1127414847250018304,incendio,1,0,1,847679196008599553,d249,c249
1127443818268303360,incendio,2,1,1,256204008,d250,c250
1127468794534858752,incendio,0,0,0,310044500,d251,c251
1127540482769346560,incendio,2,0,0,22885703,d252,c252
1127542449369485313,incendio,3,1,0,180252335,d253,c253
1127597561005535232,incendio,1,0,0,255658088,d254,c254
1127616010310176768,pirotecnia,1,0,0,70810233,d255,c255
1127722686514454528,incendio,0,0,0,566426518,d256,c256
1127728684134047744,incendio,3,0,0,3280804766,d257,c257
1127773440524607489,pirotecnia,2,0,0,632319117,d258,c258
1127794029125521408,incendio,6,0,0,15586238,d259,c259
1127909084487983111,pirotecnia,1,0,0,115545638,d260,c260
1127946707847847936,incendio,4,1,3,195951901,d261,c261
1127966851445608448,tránsito,3,0,2,69443790,d262,c262
1128005484609449986,incendio,0,0,0,769178422635487233,d263,c263
1128012974965362688,incendio,1,0,0,220114292,d264,c264
1128103185460154370,pirotecnia,11,0,8,1294434115,d265,c265
1128105241445060610,pirotecnia,1,0,0,1294434115,d266,c266
1128124027426361345,pirotecnia,0,0,0,84748249,d267,c267
1128297685667106818,incendio,0,1,1,203411590,d268,c268
1128302626288746499,pirotecnia,11,2,7,335107601,d269,c269
1128309451985829888,tránsito,7,0,3,70538650,d270,c270
1128331402624348162,tránsito,1,1,0,227157629,d271,c271
1128338195706286080,tránsito,0,1,0,2608991350,d272,c272
1128338678605058048,incendio,0,0,0,110557970,d273,c273
1128340498484273153,incendio,0,1,1,110557970,d274,c274
1128381659798286336,incendio,0,0,0,37975495,d275,c275
1128418435527004165,incendio,5,0,0,733170186,d276,c276
1128455262312988674,pirotecnia,0,0,0,221588233,d277,c277
1128491998451650560,pirotecnia,0,0,0,3166398469,d278,c278
1128492041300848645,tránsito,0,0,0,3911959161,d279,c279
1128515129560186880,incendio,0,2,0,128783063,d280,c280
1128541576597331968,tránsito,0,1,0,1058505054720851970,d281,c281
1128634085826605056,pirotecnia,0,0,0,256633050,d282,c282
1128665102159204353,tránsito,2,0,2,906094822062043136,d283,c283
1128680969282756613,tránsito,0,0,0,30672230,d284,c284
1128686400449200129,tránsito,1,0,0,39516494,d285,c285
1128699878551347201,tránsito,0,1,0,889661170558304257,d286,c286
1128709005826609152,incendio,3,1,4,119610175,d287,c287
1128719378223071233,tránsito,0,0,0,199784940,d288,c288
1128774181104050177,tránsito,2,2,2,903097695899934725,d289,c289
1128795227546775554,incendio,0,0,0,142351946,d290,c290
1128798013978271744,incendio,0,0,0,63872707,d291,c291
1128804877361188864,pirotecnia,0,0,1,703308163,d292,c292
1128833427740995584,tránsito,0,0,0,242109258,d293,c293
1128833953148702720,tránsito,0,0,0,408789366,d294,c294
1128837461738549248,tránsito,0,1,0,2280977984,d295,c295
1129011993199824896,incendio,0,1,0,1069417414121717760,d296,c296
1129031228584267776,tránsito,0,0,0,834237338280673280,d297,c297
1129040456581619712,tránsito,0,0,0,145771691,d298,c298
1129102371525500928,pirotecnia,0,0,0,340729730,d299,c299
1129119498215206912,incendio,0,1,1,2561642345,d300,c300
1129132234726727680,pirotecnia,5,2,5,205851311,d301,c301
1129145590451908608,tránsito,0,0,0,106203073,d302,c302
1129191939520323585,tránsito,0,1,0,58629135,d303,c303
1129230393356562432,incendio,1,1,2,163623951,d304,c304
1129244904037785600,tránsito,1,0,0,1084644635824267264,d305,c305
1129422836945235969,tránsito,0,0,0,706090094,d306,c306
1129456278902837248,incendio,11,0,3,195951901,d307,c307
1129484565993598976,tránsito,0,1,0,160080640,d308,c308
1129547822708215808,pirotecnia,0,0,1,44656990,d309,c309
1129697717968621568,incendio,11,0,3,195951901,d310,c310
1129786938578407424,tránsito,6,5,3,157480551,d311,c311
1129796387741327361,pirotecnia,0,0,0,1011547056,d312,c312
1129799801682452485,incendio,0,0,1,1129010627240968192,d313,c313
1129863362857263104,incendio,25,0,8,195951901,d314,c314
1129895149247586308,incendio,7,0,2,87350793,d315,c315
1129978278448631808,pirotecnia,1,0,2,35268524,d316,c316
1130189918947426308,incendio,0,0,0,212798433,d317,c317
1130196981798846464,incendio,0,0,0,212798433,d318,c318
1130283502019260416,pirotecnia,1,0,1,1520768660,d319,c319
1130302371618263040,incendio,15,0,8,195951901,d320,c320
1130466273211703301,incendio,0,0,0,68871925,d321,c321
1130806381144137735,tránsito,0,1,3,907034630095867905,d322,c322
1130896187056381958,tránsito,0,0,0,1067465855578136577,d323,c323
1130922640246394881,incendio,0,0,0,403928613,d324,c324
1130994607402115072,incendio,0,0,0,385810395,d325,c325
1131000810710732800,tránsito,0,0,0,452628845,d326,c326
1131044707067416577,incendio,1,1,0,3438228316,d327,c327
1131061560733048832,tránsito,2,1,3,868645575893241856,d328,c328
1131226777257480192,tránsito,0,1,0,955245619240718336,d329,c329
1131232720267501568,tránsito,0,0,0,903097695899934725,d330,c330
1131366782055272448,incendio,0,0,0,2285771864,d331,c331
1131367838873075712,tránsito,0,0,0,1179369768,d332,c332
1131378946128384009,tránsito,0,1,0,888971661889896448,d333,c333
1131384236538322944,tránsito,0,0,3,888971661889896448,d334,c334
1131564409891852289,tránsito,0,0,0,230540239,d335,c335
1131566994178940928,tránsito,0,0,0,99842790,d336,c336
1131708920710328320,tránsito,2,0,1,605818329,d337,c337
1131710100488409089,tránsito,4,0,2,605818329,d338,c338
1131741394522058753,incendio,28,5,30,102797694,d339,c339
1131992708971716609,tránsito,0,0,0,907034630095867905,d340,c340
