pubID,tokens,mentions,hashtags
1098614527820791810,"imposible, tránsito, hospital, general, méxico, todo, calle, dr, pasteur, urge, respete, reglamento, taxi, hacer, base, indebido, auto, estacionado, doble, fila, lugar, prohibido, calle, lleno, bache","SSP_CDMX, locatel_mx, AlcCuauhtemocMx, Claudiashein",
1098718921329324032,"digan, pensar, placa, poder, hacer, regalado, voluntad, rio, sena, río, balsa, col, cuauhtemoc, lugar, prohibido, además, pagar","UCS_GCDMX, trafico889, ApoyoVial","culturavial, Trafico"
1098723225972879360,"contaminación, incendio, xochimilco, suponer",mfgalexander,
1099100368531832839,"favor, pasar, infracción, trailer, bco, poco, 284ev6, infringir, rt, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, and, troncos, and, valladolid, col, nva, españa, alcala, azcapotzalco","UCS_GCDMX, transito_CDMX",69
1099742610204356610,"ayudado, denunciar, hacer, r57, alcaldía, alvaro, obregon, av, centenario, insoportable, tráfico, hacer",VILLALVAZO13,
1100026547904438272,"molesto, autobús, provocar, mayor, tráfico, contaminación, abarcar, carril, circular, solución, tráfico, revisar, ruta, condición","trafico889, SETRAVI1, inakimanero, VILLALVAZO13",Metrobus
1100179248348708865,"17, 42, universidad, hacia, patricio, sanz, tránsito, abundante, circule, precaución, pavimento, mojado, tras, lluvia",,Eje7Sur
1100277115516264448,"extreme, precaución, tránsito, vehicular, desviado, ave, cuauhtemoc, esperanza, agradecer, at","En_Narvarte, MrElDiablo8, retioDF, retioBASE, sobsequioso, Claudiashein, GobCDMX, Metaemergencia, Narvarte_, infonoctambulo","Balizamiento, cruceSEGURO"
1100477906340450310,"personal, bomberos, camino, incendio, pastizal, eje, sur, plan, ayala, col, santa, maría, aztahuacan",Alc_Iztapalapa,"Precaución, C5"
1100770550836879360,"favor, enviar, apoyo, infracción, trailer, bco, rojo, poco, la79112, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, andador, troncos, and, valladolid, col, nva, españa, alc, azcapotzalco","UCS_GCDMX, transito_CDMX",69
1100913591253901314,"favor, pasar, infracción, trailer, bco, poco, 11aa6r, infringir, rt, estacionado, lugar, prohibido, disco, transporte, pesado, obstruir, entrada, av, ángeles, and, troncos, and, valladolid, col, nva, españa, alcala, azcapotzalco","UCS_GCDMX, transito_CDMX",69
1100939092039217159,"incendio, pastizal, sofocado, coordinación, unidad, municipal, tenosique, colonia, benito, juarez, recordar, reportar, cualquiera, emergencia, 911, utilizar, número, responsabilidad",,
1101014878561624064,"movilizar, unidad, emergencia, calle, tezozomoc, azcapotzalco, reportar, incendio, casa, persona, interior, precaución, zona",,Durango
1101119542149947397,"precaución, encontrar, descompuesto, camión, benito, juarez, poniente, motivo, asentamiento, vehicular, extremo, precaución",,
1101371443923828737,"pipa, dissolve, cerrar, viaducto, así, mal, generar, tráfico, ruido, contaminación",GobCDMX,
1102401010453094401,"precauciónfuerte, accidente, vehicular, periférico, calzada, méxico, xochimilco, altura, tec, monterrey, colonia, masa, alcaldía, tlalpan, servicios, emergencia, lugar, bastante, transito03, 03, 2019",,OpEsMx
1102655127821971456,"incendio, xochimilco, perenne, contaminación",,
1102660041209860096,"reportar, incendio, pastizal, calado, tláhuac, chaleco, rafael, castillo, col, habana",,"AlMomento, Precaución"
1102672664815009792,"registrar, incendio, pastizal, plan, muyuguarda, río, san, buenaventura, col, san, lorenzo, cebada, xochimilco",,"AlMomento, Precaución"
1102751163827404800,"increíble, cráter, frente, ala, unidad, especialidad, odontológica, islam, peor, así, todo, vía, principal, generar, tráfico, contaminación, urgir, programa, baches, favor","GobCDMX, Claudiashein",
1102958222636400642,"07, 06, implementar, reversible, eje, poniente, praga, servicio, emergencia, trabajar, choque, lesionado, viaducto, tlalpan, av, ejido, col, viejo, ejido",,"Tránsito, AvChapultepec, Precaución"
1102984139970674696,"hola, buenos, días, querer, reportar, incendio, muyuguardo, xochimilco, col, san, lorenzo, cebada, acabar, pasar, ahí, encontrar, encendido, nuevo",C5_CDMX,
1103123137485570050,"poder, usted, consultar, wave, maps, ver, tráfico, periferio, bloqueo, protestar, sr, mazo, intransitable, 10, km, redondo, llevar, hora, alto, total, ahora, bien, inseguridad, cdmx, ver, mayor, aumento, periodo, mancera","FelipeFloresMX, Alc_Iztapalapa, Claudiashein",
1103433297252831232,"favor, enviar, unidad, tránsito, infracción, trailer, bco, poco, 63ad9s, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco","OVIALCDMX, SSP_CDMX",69
1103439299423416322,"favor, enviar, unidad, tránsito, infracción, trailer, bco, poco, 63ad9s, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco","OVIALCDMX, SSP_CDMX",69
1103472468126257152,"favor, enviar, unidad, tránsito, infracción, trailer, bco, poco, 509du5, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco","OVIALCDMX, SSP_CDMX",69
1103477839511326720,"favor, enviar, unidad, tránsito, infracción, trailer, bco, poco, 509du5, violar, rt, estacionado, lugar, prohibido, disco, transporte, pesado, av, ángeles, av, sn, pablo, ferrocarriles, nacionales, col, nva, españa, alc, azcapotzalco","OVIALCDMX, SSP_CDMX",69
1104036202242625536,"toma, precauciónchoque, taxi, vehículo, oficial, remedio, casa, avenida, tláhuac, ermitaentorpeceel, tráfico, zona","SSPCMexico, Alc_Iztapalapa",
1104492675015811073,"apoyo, acelerar, tráfico, tráfico, pesado, comercio, comprar, chatarra, ilegal, lugar, prohibido, disco, pongan, orden, bajo, puente, acabar, dirección, azcapotzalco, vean, tráfico, verificar, negocio","UCS_GCDMX, inveacdmx, vromog, elcapipeligro, AlcaldiaMHmx, SSPCMexico",
1104626088372629505,"hola, buenas, noches, querer, reportar, pequeño, incendio, camellón, calle, luis, manuel, rojas, colonia, constitución, 1917, iztapalapa, uno, cuadra, terminal, metro",C5_CDMX,
