dateID,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute
d325,2019-05-18 12:10:24,2019,5,18,12,10
d326,2019-05-18 12:23:58,2019,5,18,12,23
d327,2019-05-18 16:36:32,2019,5,18,16,36
d328,2019-05-18 18:42:50,2019,5,18,18,42
d329,2019-05-19 00:13:10,2019,5,19,0,13
d330,2019-05-19 14:14:09,2019,5,19,14,14
d331,2019-05-19 14:42:13,2019,5,19,14,42
d332,2019-05-19 20:26:01,2019,5,19,20,26
d333,2019-05-19 21:41:00,2019,5,19,21,41
d334,2019-05-20 08:32:17,2019,5,20,8,32
d335,2019-05-21 07:03:45,2019,5,21,7,3
d336,2019-05-21 13:00:36,2019,5,21,13,0
d337,2019-05-21 14:45:43,2019,5,21,14,45
d338,2019-05-21 19:31:41,2019,5,21,19,31
d339,2019-05-21 19:56:20,2019,5,21,19,56
d340,2019-05-21 22:50:46,2019,5,21,22,50
d341,2019-05-21 23:57:44,2019,5,21,23,57
d342,2019-05-22 10:54:15,2019,5,22,10,54
d343,2019-05-22 11:17:52,2019,5,22,11,17
d344,2019-05-22 20:10:35,2019,5,22,20,10
d345,2019-05-22 20:14:47,2019,5,22,20,14
d346,2019-05-22 20:58:55,2019,5,22,20,58
d347,2019-05-22 21:19:56,2019,5,22,21,19
d348,2019-05-23 09:15:53,2019,5,23,9,15
d349,2019-05-23 09:26:09,2019,5,23,9,26
d350,2019-05-23 18:50:07,2019,5,23,18,50
d351,2019-05-23 18:54:48,2019,5,23,18,54
d352,2019-05-23 20:59:09,2019,5,23,20,59
d353,2019-05-24 13:37:47,2019,5,24,13,37
d354,2019-05-24 20:54:52,2019,5,24,20,54
d355,2019-05-25 10:07:44,2019,5,25,10,7
d356,2019-05-28 08:00:06,2019,5,28,8,0
d357,2019-05-29 15:50:22,2019,5,29,15,50
d358,2019-05-29 16:04:16,2019,5,29,16,4
d359,2019-05-29 23:22:54,2019,5,29,23,22
d360,2019-05-31 05:57:19,2019,5,31,5,57
d361,2019-05-31 10:06:29,2019,5,31,10,6
d362,2019-05-31 19:19:48,2019,5,31,19,19
d363,2019-05-31 19:27:08,2019,5,31,19,27
d364,2019-06-02 12:49:34,2019,6,2,12,49
d365,2019-06-03 13:53:15,2019,6,3,13,53
d366,2019-06-03 15:36:59,2019,6,3,15,36
d367,2019-06-03 21:09:19,2019,6,3,21,9
d368,2019-06-03 21:51:30,2019,6,3,21,51
d369,2019-06-05 10:17:08,2019,6,5,10,17
d370,2019-06-05 11:17:14,2019,6,5,11,17
d371,2019-06-05 21:13:45,2019,6,5,21,13
d372,2019-06-06 16:27:04,2019,6,6,16,27
d373,2019-06-06 19:40:32,2019,6,6,19,40
d374,2019-06-07 14:13:28,2019,6,7,14,13
d375,2019-06-07 16:48:28,2019,6,7,16,48
d376,2019-06-07 17:05:20,2019,6,7,17,5
d377,2019-06-08 13:14:58,2019,6,8,13,14
d378,2019-06-08 17:32:54,2019,6,8,17,32
d379,2019-06-09 11:28:38,2019,6,9,11,28
d380,2019-06-09 11:52:35,2019,6,9,11,52
d381,2019-06-09 15:01:46,2019,6,9,15,1
d382,2019-06-09 20:09:35,2019,6,9,20,9
d383,2019-06-09 22:11:20,2019,6,9,22,11
d384,2019-06-10 07:53:11,2019,6,10,7,53
d385,2019-06-12 01:16:25,2019,6,12,1,16
d386,2019-06-13 07:22:54,2019,6,13,7,22
d387,2019-06-13 08:02:23,2019,6,13,8,2
d388,2019-06-13 18:31:39,2019,6,13,18,31
d389,2019-06-13 22:49:12,2019,6,13,22,49
d390,2019-06-14 08:56:34,2019,6,14,8,56
d391,2019-06-14 19:29:56,2019,6,14,19,29
d392,2019-06-14 19:51:16,2019,6,14,19,51
d393,2019-06-15 11:45:30,2019,6,15,11,45
d394,2019-06-15 16:37:24,2019,6,15,16,37
d395,2019-06-16 20:13:34,2019,6,16,20,13
d396,2019-06-17 09:41:23,2019,6,17,9,41
d397,2019-06-17 11:02:39,2019,6,17,11,2
d398,2019-06-17 16:26:02,2019,6,17,16,26
d399,2019-06-18 14:16:51,2019,6,18,14,16
d400,2019-06-18 20:09:54,2019,6,18,20,9
d401,2019-06-19 09:20:57,2019,6,19,9,20
d402,2019-06-20 08:14:18,2019,6,20,8,14
d403,2019-06-21 15:22:21,2019,6,21,15,22
d404,2019-06-23 09:18:32,2019,6,23,9,18
d405,2019-06-26 11:48:25,2019,6,26,11,48
d406,2019-06-27 07:29:03,2019,6,27,7,29
d407,2019-06-27 12:14:23,2019,6,27,12,14
d408,2019-06-27 14:48:55,2019,6,27,14,48
d409,2019-06-27 15:35:47,2019,6,27,15,35
d410,2019-06-28 06:45:03,2019,6,28,6,45
d411,2019-06-28 09:45:06,2019,6,28,9,45
d412,2019-06-28 16:36:18,2019,6,28,16,36
d413,2019-06-29 09:58:44,2019,6,29,9,58
d414,2019-06-29 11:59:52,2019,6,29,11,59
d415,2019-06-30 03:07:28,2019,6,30,3,7
d416,2019-06-30 08:16:10,2019,6,30,8,16
d417,2019-06-30 11:37:33,2019,6,30,11,37
d418,2019-06-30 21:58:24,2019,6,30,21,58
d419,2019-07-02 10:32:57,2019,7,2,10,32
d420,2019-07-03 10:32:47,2019,7,3,10,32
d421,2019-07-03 11:02:31,2019,7,3,11,2
d422,2019-07-03 12:14:23,2019,7,3,12,14
d423,2019-07-04 13:17:10,2019,7,4,13,17
d424,2019-07-04 13:43:11,2019,7,4,13,43
d425,2019-07-06 13:46:57,2019,7,6,13,46
d426,2019-07-06 19:24:48,2019,7,6,19,24
d427,2019-07-07 01:46:22,2019,7,7,1,46
d428,2019-07-07 11:15:39,2019,7,7,11,15
d429,2019-07-08 01:47:20,2019,7,8,1,47
d430,2019-07-08 20:08:37,2019,7,8,20,8
d431,2019-07-10 12:57:54,2019,7,10,12,57
d432,2019-07-11 10:17:56,2019,7,11,10,17
d433,2019-07-13 15:54:09,2019,7,13,15,54
d434,2019-07-14 07:21:50,2019,7,14,7,21
d435,2019-07-14 11:41:16,2019,7,14,11,41
d436,2019-07-15 17:43:49,2019,7,15,17,43
d437,2019-07-15 20:15:47,2019,7,15,20,15
d438,2019-07-17 21:42:10,2019,7,17,21,42
d439,2019-07-19 07:57:08,2019,7,19,7,57
d440,2019-07-19 15:19:29,2019,7,19,15,19
d441,2019-07-19 15:20:01,2019,7,19,15,20
d442,2019-07-20 14:50:14,2019,7,20,14,50
d443,2019-07-21 13:34:46,2019,7,21,13,34
d444,2019-07-22 08:04:09,2019,7,22,8,4
d445,2019-07-22 08:07:00,2019,7,22,8,7
d446,2019-07-22 09:39:05,2019,7,22,9,39
d447,2019-07-22 10:17:12,2019,7,22,10,17
d448,2019-07-22 11:36:24,2019,7,22,11,36
