coordinateID,geoID,geoName,longitude,latitude
c346,7,Iztapalapa,-99.0567989642,19.3491663204
c347,7,Iztapalapa,-99.0567989642,19.3491663204
c348,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c349,7,Iztapalapa,-99.0567989642,19.3491663204
c350,13,Xochimilco,-99.0903636045,19.2451450458
c351,3,Coyoacán,-99.1503763525,19.3266672536
c352,16,Miguel Hidalgo,-99.1843501,19.3998346
c353,16,Miguel Hidalgo,-99.1843501,19.3998346
c354,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c355,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c356,14,Benito Juárez,-99.1611346584,19.3806424162
c357,14,Benito Juárez,-99.1611346584,19.3806424162
c358,16,Miguel Hidalgo,-99.1843501,19.3998346
c359,16,Miguel Hidalgo,-99.259495,19.3863707
c360,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c361,17,Venustiano Carranza,-99.0931057959,19.4304954545
c362,14,Benito Juárez,-99.1611346584,19.3806424162
c363,7,Iztapalapa,-99.0567989642,19.3491663204
c364,3,Coyoacán,-99.1503763525,19.3266672536
c365,11,Tláhuac,-99.140238,19.2846922
c366,13,Xochimilco,-99.0903636045,19.2451450458
c367,10,Álvaro Obregón,-99.246819712,19.336175562
c368,12,Tlalpan,-99.2062207957,19.1983396763
c369,15,Cuauhtémoc,-99.1490557562,19.4313734294
c370,17,Venustiano Carranza,-99.0931057959,19.4304954545
c371,2,Azcapotzalco,-99.1944291156358,19.51029708954161
c372,10,Álvaro Obregón,-99.1919955,19.357102
c373,12,Tlalpan,-99.2058092,19.2970107
c374,15,Cuauhtémoc,-99.1490557562,19.4313734294
c375,15,Cuauhtémoc,-99.259495,19.3863707
c376,3,Coyoacán,-99.1503763525,19.3266672536
c377,2,Azcapotzalco,-99.1821069423,19.4853286147
c378,7,Iztapalapa,-99.0567989642,19.3491663204
c379,12,Tlalpan,-99.2062207957,19.1983396763
c380,12,Tlalpan,-99.140238,19.2846922
c381,7,Iztapalapa,-99.0567989642,19.3491663204
c382,16,Miguel Hidalgo,-99.1843501,19.3998346
c383,2,Azcapotzalco,-99.1821069423,19.4853286147
c384,11,Tláhuac,-99.0028216137,19.2769983772
c385,5,Gustavo A. Madero,-99.1158642087,19.5040652077
c386,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c387,15,Cuauhtémoc,-99.1490557562,19.4313734294
c388,16,Miguel Hidalgo,-99.1843501,19.3998346
c389,11,Tláhuac,-99.0028216137,19.2769983772
c390,7,Iztapalapa,-99.0567989642,19.3491663204
c391,7,Iztapalapa,-99.0567989642,19.3491663204
c392,2,Azcapotzalco,-99.1821069423,19.4853286147
c393,12,Tlalpan,-99.2058092,19.2970107
c394,12,Tlalpan,-99.2062207957,19.1983396763
c395,2,Azcapotzalco,-99.1821069423,19.4853286147
c396,7,Iztapalapa,-99.0567989642,19.3491663204
c397,12,Tlalpan,-99.2058092,19.2970107
c398,3,Coyoacán,-99.1503763525,19.3266672536
c399,2,Azcapotzalco,-99.1821069423,19.4853286147
c400,12,Tlalpan,-99.140238,19.2846922
c401,4,Cuajimalpa de Morelos,-99.3107285253,19.3246343001
c402,3,Coyoacán,-99.1503763525,19.3266672536
c403,16,Miguel Hidalgo,-99.1843501,19.3998346
c404,11,Tláhuac,-99.0028216137,19.2769983772
c405,2,Azcapotzalco,-99.1821069423,19.4853286147
c406,17,Venustiano Carranza,-99.1217171,19.413772
c407,14,Benito Juárez,-99.1611346584,19.3806424162
c408,12,Tlalpan,-99.2062207957,19.1983396763
c409,2,Azcapotzalco,-99.1821069423,19.4853286147
c410,12,Tlalpan,-99.2058092,19.2970107
c411,3,Coyoacán,-99.1503763525,19.3266672536
c412,10,Álvaro Obregón,-99.1919955,19.357102
c413,3,Coyoacán,-99.1503763525,19.3266672536
c414,8,La Magdalena Contreras,-99.2684129061,19.2689765031
c415,7,Iztapalapa,-99.0567989642,19.3491663204
c416,16,Miguel Hidalgo,-99.1843501,19.3998346
c417,16,Miguel Hidalgo,-99.180678,19.444937
c418,12,Tlalpan,-99.2062207957,19.1983396763
c419,13,Xochimilco,-99.0903636045,19.2451450458
c420,7,Iztapalapa,-99.0567989642,19.3491663204
c421,16,Miguel Hidalgo,-99.1843501,19.3998346
c422,16,Miguel Hidalgo,-99.1843501,19.3998346
c423,15,Cuauhtémoc,-99.128294,19.4043522
c424,7,Iztapalapa,-99.0567989642,19.3491663204
c425,12,Tlalpan,-99.2062207957,19.1983396763
c426,12,Tlalpan,-99.2062207957,19.1983396763
c427,7,Iztapalapa,-99.0567989642,19.3491663204
c428,2,Azcapotzalco,-99.1821069423,19.4853286147
c429,13,Xochimilco,-99.0903636045,19.2451450458
c430,13,Xochimilco,-99.0903636045,19.2451450458
c431,2,Azcapotzalco,-99.1821069423,19.4853286147
c432,4,Cuajimalpa de Morelos,-99.1858145629977,19.391438568283952
