pubID,topicQuery,tweet,likeCount,replyCount,retweetCount,authorID,dateID,geoID
1093982946405568513,tránsito,"¡PRECAUCIÓN, gente! Hoy en el antiguo #HotelExcalibur de Hamburgo e Insurgentes en la #ColoniaJuarez están derribando escombros. Eviten pasar por ahí o pongan atención al hacerlo. @reformaciudad @SPCCDMX @ACOZORO @Comitejuarez @LaDiana_Cazador @_DonJuarez @transito_CDMX @GobCDMX https://t.co/69kJx5YvPS",4,2,8,944093036652273664,d65,16
1094111068992032768,tránsito,"@C5_CDMX reportar que los semáforos de la Av. México col. Paraje Zacatepec, Alcaldía Iztapalapa con eje 5 y eje 6 no sirven y se hace mucho tráfico y mañana será un caos.",0,0,0,547904626,d66,7
1094701649606586369,incendio,A quien más acudir si No hacen caso las autoridades y la funeraria #Angelus ubicada en Av Cuauhtémoc 984 @_Narvarte #FunerariaAngelus  emite humo de su crematorio todos los días @En_Narvarte @PROFEPA_Mx @SEDEMA_CDMX @Claudiashein #Contaminación https://t.co/Um7UPBB1jc,4,2,10,102797694,d67,15
1094945777837883392,tránsito,"@SSP_CDMX URGE MANDEN AGENTES TRANSITO CRUCERO ANTIGUO CAMINO A XOCHIMILCO Y GPE I RAMIREZ EN LA NORIA XOCHIMILCO, CAOS ENTRE CRUCE TREN Y AUTOMÓVILES  QUE SE PASAN ALTO. “TODOS LOS DÍAS”",1,1,1,346787085,d68,13
1095056518385467397,tránsito,"@SSP_CDMX @UCS_GCDMX @OVIALCDMX @Alcaldia_Coy @AlcCuauhtemocMx @deleiztacalco @Alc_Iztapalapa @BJAlcaldia @AlcaldiaMHmx @TuAlcaldiaGAM Para reportar un auto en Manuel Gutiérrez Najera col. Tránsito Alcaldía de Cuauhtémoc, ya lleva días ahí y trae placas del estado de México https://t.co/v0r27yJ24F",0,2,0,3306389023,d69,7
1095427615786188802,tránsito,"@UCSCDMX, @transito_CDMX, Favor de enviar apoyo a infraccionar trailer vde pcas 427DE4, estacionado lugar prohibido c/disco ""N/E Transporte Pesado"", obstruyendo entrada en Av Los Ángeles 69, entre Andador Troncoso y And Valladolid, Col Nva España, Alc. Azcapotzalco.",0,0,0,903097695899934725,d70,2
1095737926636523520,tránsito,"@vampipe @Pajaropolitico @Claudiashein La alcaldía Tlalpan la dejó con un alto índice de violencia, inseguridad y Feminicidios, además que permitió bases piratas de taxis, ambulanteaje a lo descarado, lo cual trae tráfico, contaminación e inseguridad. Solo falta darse una vuelta en l picacho ajusco.",0,0,0,990013299898056709,d71,12
1095748181655048192,incendio," | Tras el asalto e incendio a barbería en Tláhuac, dueños del negocio decidieron dejar el local donde trabajaban; exigen al alcalde @RaymundoMtzVite atienda su denuncia.   @CarlosTejedaA tiene el resporte  #TelediarioEnEl6 con @azucenau y @janupi | https://t.co/pnuX2PK3Ln https://t.co/HVs8frMwFm",1,0,2,900122660537077762,d72,11
1095812958553280517,tránsito,@AGUCDMX @transito_CDMX @AzcapotzalcoMx @vidallerenas @locatel_mx NUEVAMENTE PARA REPORTAR SEMAFORO DESCOMPUESTO EN EL CRUCE DE NARCISO Y TORONJIL COL. VICTORIA DE LAS DEMOCRACIAS AZCAPOTZALCO. ES LA TERCERA VEZ EN LOS ULTIMOS  3 MESES https://t.co/5sRfBa5OMx,0,2,0,73550141,d73,2
1095993653690945537,tránsito,@OVIALCDMX @lomurguia @jonpardinas @MarioBeteta Nuevamente mi denuncia de sitio de taxi pirata  en el cruzero principal de tulyehualco alcaldía xochimilco en contra esquina del sitio 227 estos tacitas piratas provocan caos vial y nadie los quita pasan las patrullas de tránsito a cobrar su mordida se Estácionan en tercera fila,0,0,0,4716158412,d74,13
1096565753275400192,tránsito,"@pasotti_ @avelezig @vampipe Solo has visto camionetas pasándose los altos, girando a la derecha sin respetar la prioridad peatonal, estacionandose en las banquetas y pasos peatonales, excediendo los límites de velocidad, circulando en sentido contrario y, en general,pasándose por alto las reglas de tránsito",2,0,1,281316561,d75,16
1096578329778446336,incendio,"#Precaución Siguen los hechos violentos en la ciudad.   Reportan a Seguridad Pública que comando incendió vivienda hace unos minutos en las calles 108a y Xochimilco.  Ya se encuentran corporaciones en el lugar de los hechos, donde al parecer no hay lesionados.",0,0,0,1347278918,d76,13
1096908154737176577,incendio,"Precaución. Incendio de una panadería en la Av. Insurgentes con Ayuntamiento en Tlalpan, cerca de la Av. San Fernando. Bomberos laborando. @retioDF",4,0,3,415242374,d77,12
1097023296426524673,tránsito,@Ross761982363 @CLUBVIP10 CIRCULE CON PRECAUCION MUCHO TRAFICO DESDE PERIFERICO HASTA VIADUCTO TLALPAN,0,0,0,743878493277028352,d78,12
1097151057736671238,incendio,"#Precaución |   Servicios de emergencia se dirigen a Rinoceronte y Av Río de Guadalupe, Col. Pueblo de San Juan de Aragón, GAM, por incendio.",2,0,1,293063533,d79,5
1097929883420971008,tránsito,"@UCS_GCDMX, @transito_CDMX, Enviar apoyo a infraccionar trailer rojo pcas 716ET7, violando RT, estacionado en lugar prohibido C/disco ""N/E Transporte Pesado"", obstruyendo entrada en Av Los Ángeles #69, entre Andador Troncoso y And Valladolid, Col Nva España, Alc. Azcapotzalco",0,0,0,903097695899934725,d80,2
1097933588199366662,incendio,"#Precaución Por incendio de pastizal sobre el Cerro de Guadalupe en la Av. San Francisco y Cerró de Guadalupe, Col. Selene 1ra Sección, @Alc_Tlahuac Servicios de emergencia en camino  #C5. https://t.co/hokOSzrmuI",6,1,5,195951901,d81,11
